2022-07-19T14:48:22
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061615.334655 7001289F:109:CB97UANXX:2:1110:20582:100186/1	R1	-	+	-	-	0.526316	-
ERR2061615.335420 7001289F:109:CB97UANXX:2:1309:20511:33878/1	R1	-	+	-	-	0.000000	-
ERR2061615.454539 7001289F:109:CB97UANXX:2:1115:11115:53289/2	R2	-	-	-	+	-	1.000000
ERR2061615.455044 7001289F:109:CB97UANXX:2:2305:3006:71430/1	R1	-	+	-	-	1.000000	-
ERR2061615.1109436 7001289F:109:CB97UANXX:2:1101:8570:15949/2	R2	-	-	-	+	-	0.000000
ERR2061615.1353514 7001289F:109:CB97UANXX:2:1105:3431:59452/1	R1	-	+	-	-	0.777778	-
ERR2061615.1353518 7001289F:109:CB97UANXX:2:2214:1916:76908/2	R2	-	-	-	+	-	0.526316
ERR2061615.1353519 7001289F:109:CB97UANXX:2:2214:4186:98111/2	R2	-	-	-	+	-	0.526316
ERR2061615.2059956 7001289F:109:CB97UANXX:2:2103:13081:59141/2	R2	-	-	-	+	-	0.950000
ERR2061615.2470634 7001289F:109:CB97UANXX:2:1201:15427:43912/1	R1	-	+	-	-	0.736842	-
ERR2061615.3684327 7001289F:109:CB97UANXX:2:1302:15469:40330/2	R2	-	-	-	+	-	0.857143
ERR2061615.3684419 7001289F:109:CB97UANXX:2:2215:21296:92472/2	R2	-	-	-	+	-	0.857143
ERR2061615.3805239 7001289F:109:CB97UANXX:2:1201:3101:39203/1	R1	+	-	-	-	0.515789	-
ERR2061615.3805240 7001289F:109:CB97UANXX:2:1208:8661:34404/2	R2	-	-	+	-	-	0.570000
ERR2061615.3805241 7001289F:109:CB97UANXX:2:2212:5919:85962/2	R2	-	-	+	-	-	0.441860
ERR2061615.3805242 7001289F:109:CB97UANXX:2:2214:7981:94771/2	R2	-	-	+	-	-	0.636364
ERR2061615.3805243 7001289F:109:CB97UANXX:2:2115:17844:39059/2	R2	-	-	+	-	-	0.471698
ERR2061615.3805244 7001289F:109:CB97UANXX:2:1201:14393:67214/2	R2	-	-	+	-	-	0.613208
ERR2061615.3805245 7001289F:109:CB97UANXX:2:1109:14560:99903/2	R2	-	-	+	-	-	0.523364
ERR2061615.3805246 7001289F:109:CB97UANXX:2:1116:5293:6229/1	R1	+	-	-	-	0.518868	-
ERR2061615.3805247 7001289F:109:CB97UANXX:2:2314:6699:20412/2	R2	-	-	+	-	-	0.672897
ERR2061615.3805248 7001289F:109:CB97UANXX:2:1303:8843:8613/2	R2	-	-	+	-	-	0.302752
ERR2061615.3805249 7001289F:109:CB97UANXX:2:1209:3540:62727/1	R1	+	-	-	-	0.345455	-
ERR2061615.3805250 7001289F:109:CB97UANXX:2:1306:17640:19955/2	R2	-	-	+	-	-	0.446429
ERR2061615.3805251 7001289F:109:CB97UANXX:2:1102:16314:11071/2	R2	-	-	+	-	-	0.000000
ERR2061615.3805252 7001289F:109:CB97UANXX:2:1208:12327:3380/2	R2	-	-	+	-	-	0.446429
ERR2061615.3805253 7001289F:109:CB97UANXX:2:1103:5621:94271/1	R1	+	-	-	-	0.500000	-
ERR2061615.3805254 7001289F:109:CB97UANXX:2:2210:7993:96389/1	R1	+	-	-	-	0.446429	-
ERR2061615.3805255 7001289F:109:CB97UANXX:2:1116:15348:71838/2	R2	-	-	+	-	-	0.345455
ERR2061615.3805256 7001289F:109:CB97UANXX:2:2216:16739:2632/1	R1	+	-	-	-	0.446429	-
ERR2061615.3805257 7001289F:109:CB97UANXX:2:2315:15110:79883/1	R1	+	-	-	-	0.302752	-
ERR2061615.3805258 7001289F:109:CB97UANXX:2:2314:12679:69392/1	R1	+	-	-	-	0.891892	-
ERR2061615.3805259 7001289F:109:CB97UANXX:2:2206:10883:3982/1	R1	+	-	-	-	0.446429	-
ERR2061615.3805260 7001289F:109:CB97UANXX:2:2206:11461:29528/2	R2	-	-	+	-	-	0.446429
ERR2061615.3805261 7001289F:109:CB97UANXX:2:2112:1773:50655/1	R1	+	-	-	-	0.446429	-
ERR2061615.3805262 7001289F:109:CB97UANXX:2:2106:15841:100446/1	R1	+	-	-	-	0.446429	-
ERR2061615.3805263 7001289F:109:CB97UANXX:2:1207:9596:98220/2	R2	-	-	+	-	-	0.345455
ERR2061615.3805264 7001289F:109:CB97UANXX:2:1208:19259:67233/2	R2	-	-	+	-	-	0.446429
ERR2061615.3805265 7001289F:109:CB97UANXX:2:2310:10245:94648/2	R2	-	-	+	-	-	0.446429
ERR2061615.3805266 7001289F:109:CB97UANXX:2:1303:19608:53150/1	R1	+	-	-	-	0.000000	-
ERR2061615.3805267 7001289F:109:CB97UANXX:2:1206:3663:44054/2	R2	-	-	+	-	-	0.072464
ERR2061615.3805268 7001289F:109:CB97UANXX:2:1112:1357:64903/1	R1	-	+	+	-	0.000000	0.457944
ERR2061615.3805269 7001289F:109:CB97UANXX:2:1208:3828:10461/2	R2	-	-	+	-	-	0.471698
ERR2061615.3805270 7001289F:109:CB97UANXX:2:1208:3517:61792/1	R1	+	-	-	-	0.471698	-
ERR2061615.3805271 7001289F:109:CB97UANXX:2:1114:5277:27323/2	R2	-	-	+	-	-	0.639640
ERR2061615.3805272 7001289F:109:CB97UANXX:2:1116:5254:28225/1	R1	+	-	-	-	0.471698	-
ERR2061615.3805273 7001289F:109:CB97UANXX:2:2212:14870:10518/2	R2	-	-	+	-	-	0.457944
ERR2061615.3805275 7001289F:109:CB97UANXX:2:2204:20725:52933/2	R2	-	-	+	-	-	0.500000
ERR2061615.3805276 7001289F:109:CB97UANXX:2:2207:5944:19246/1	R1	+	-	-	-	0.898148	-
ERR2061615.3805277 7001289F:109:CB97UANXX:2:1309:4959:8062/2	R2	-	-	+	-	-	0.531915
ERR2061615.3805278 7001289F:109:CB97UANXX:2:1209:10660:45154/2	R2	-	-	+	-	-	0.471698
ERR2061615.3805279 7001289F:109:CB97UANXX:2:1209:3151:72922/1	R1	+	-	-	-	0.320388	-
ERR2061615.3805280 7001289F:109:CB97UANXX:2:1201:3538:93223/1	R1	+	-	-	-	0.000000	-
ERR2061615.3805281 7001289F:109:CB97UANXX:2:2313:3802:43233/2	R2	-	-	+	-	-	0.457944
