ERR218872316	Chr5	100.000	60	0	1	60	68913	68972	3.56e-25	60
ERR218872316	Chr5	92.000	50	3	1	49	4363536	4363585	2.17e-12	60
ERR218872316	Chr7	93.443	61	3	1	60	533332	533392	1.67e-18	60
ERR218872316	Chr7	93.333	60	4	1	60	3298249	3298308	1.67e-18	60
ERR218872316	Chr7	94.000	50	2	1	49	3810039	3809990	4.67e-14	60
ERR218872316	Chr6	93.443	61	3	1	60	6004627	6004687	1.67e-18	60
ERR218872316	Chr6	91.803	61	4	1	60	5064888	5064828	7.77e-17	60
ERR218872316	Chr6	92.453	53	3	9	60	5104656	5104604	4.67e-14	60
ERR218872316	Chr3	93.443	61	3	1	60	2054323	2054263	1.67e-18	60
ERR218872316	Chr3	90.164	61	5	1	60	7864427	7864487	3.61e-15	60
ERR218872316	Chr3	95.652	46	1	5	49	8101975	8102020	1.68e-13	60
ERR218872316	Chr4	97.959	49	1	1	49	374704	374752	2.16e-17	60
ERR218872316	Chr1	91.803	61	4	1	60	325061	325121	7.77e-17	60
ERR21887231880	Chr5	100.000	60	0	1	60	68901	68960	3.56e-25	60
ERR21887231880	Chr4	96.667	60	2	1	60	374692	374751	7.71e-22	60
ERR21887231880	Chr3	93.443	61	2	2	60	2054335	2054275	1.67e-18	60
ERR21887231880	Chr6	91.803	61	3	2	60	5064900	5064840	7.77e-17	60
ERR21887231880	Chr6	91.667	60	4	2	60	6004616	6004675	2.79e-16	60
ERR21887231880	Chr6	88.525	61	6	1	60	5104676	5104616	1.68e-13	60
ERR21887231880	Chr1	91.803	61	4	1	60	588853	588793	7.77e-17	60
ERR21887231880	Chr1	88.525	61	5	2	60	325049	325109	1.68e-13	60
ERR21887231880	Chr7	90.000	60	5	2	60	3298237	3298296	1.30e-14	60
ERR21887232632	Chr4	96.721	61	1	1	60	26244	26184	7.71e-22	60
ERR21887232616	Chr7	98.333	60	1	1	60	560549	560608	1.66e-23	60
ERR21887232616	Chr7	96.610	59	2	1	59	3966582	3966640	2.77e-21	60
ERR21887232616	Chr7	95.000	60	3	1	60	554660	554719	3.59e-20	60
ERR21887232616	Chr7	94.915	59	3	2	60	526116	526058	1.29e-19	60
ERR21887232616	Chr3	98.333	60	1	1	60	8075030	8074971	1.66e-23	60
ERR21887232616	Chr3	98.305	59	1	1	59	2596087	2596145	5.96e-23	60
ERR21887232616	Chr3	96.610	59	2	2	60	2559418	2559360	2.77e-21	60
ERR21887232616	Chr3	95.000	60	3	1	60	2041952	2041893	3.59e-20	60
ERR21887232616	Chr3	95.000	60	3	1	60	2539033	2538974	3.59e-20	60
ERR21887232616	Chr3	95.000	60	3	1	60	7866654	7866595	3.59e-20	60
ERR21887232616	Chr3	90.000	60	6	1	60	7863336	7863277	3.61e-15	60
ERR21887232616	Chr3	90.000	60	6	1	60	8081402	8081461	3.61e-15	60
ERR21887232616	Chr1	98.333	60	1	1	60	2205589	2205530	1.66e-23	60
ERR21887232616	Chr1	96.667	60	2	1	60	393161	393102	7.71e-22	60
ERR21887232616	Chr1	96.667	60	2	1	60	2300581	2300640	7.71e-22	60
ERR21887232616	Chr1	96.667	60	2	1	60	6643966	6644025	7.71e-22	60
ERR21887232616	Chr1	95.000	60	3	1	60	400035	399976	3.59e-20	60
ERR21887232616	Chr1	94.828	58	3	2	59	442320	442377	4.64e-19	60
ERR21887232616	Chr1	93.220	59	1	1	59	6391109	6391164	7.77e-17	60
ERR21887232616	Chr8	96.667	60	2	1	60	554856	554797	7.71e-22	60
ERR21887232616	Chr2	95.000	60	3	1	60	7390737	7390796	3.59e-20	60
ERR21887234104	Chr5	100.000	57	0	4	60	68997	68941	1.66e-23	60
ERR21887234104	Chr6	96.000	50	2	6	55	6011861	6011910	2.79e-16	60
ERR21887234104	Chr6	95.745	47	2	9	55	5078014	5077968	1.30e-14	60
ERR21887234104	Chr6	92.000	50	4	6	55	55377	55426	6.05e-13	60
ERR21887234104	Chr6	92.000	50	4	6	55	255187	255236	6.05e-13	60
ERR21887234104	Chr2	92.000	50	4	6	55	1999677	1999726	6.05e-13	60
ERR21887234104	Chr1	93.617	47	3	9	55	3793261	3793215	6.05e-13	60
ERR21887234104	Chr7	90.385	52	5	9	60	533412	533361	2.17e-12	60
ERR21887233504	Chr1	100.000	60	0	1	60	3467	3408	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	11121	11062	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	19363	19304	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	27629	27570	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	35850	35791	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	44046	43987	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	52313	52254	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	60573	60514	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	68855	68796	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	77121	77062	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	85255	85196	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	93564	93505	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	101874	101815	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	128368	128309	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	136546	136487	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	144791	144732	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	153012	152953	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	161229	161170	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	169464	169405	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	177699	177640	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	185418	185359	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	194295	194236	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	202512	202453	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	210739	210680	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	218969	218910	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	227275	227216	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	235572	235513	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	243876	243817	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	252179	252120	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	260480	260421	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	268781	268722	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	277084	277025	3.56e-25	60
ERR21887233504	Chr1	100.000	60	0	1	60	285394	285335	3.56e-25	60
