2022-07-14T09:32:03
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061623.298517 7001289F:103:C9WFLANXX:3:2306:2662:47576/1	R1	-	+	-	-	0.850000	-
ERR2061623.402377 7001289F:103:C9WFLANXX:3:2211:18241:33721/1	R1	-	+	-	-	0.950000	-
ERR2061623.1193529 7001289F:103:C9WFLANXX:4:2113:10858:3503/1	R1	-	+	-	-	0.526316	-
ERR2061623.2178395 7001289F:103:C9WFLANXX:3:2314:8592:55201/1	R1	-	+	-	-	0.736842	-
ERR2061623.2178415 7001289F:103:C9WFLANXX:4:1107:15353:49610/1	R1	-	+	-	-	0.736842	-
ERR2061623.2178436 7001289F:103:C9WFLANXX:4:2115:7766:99325/1	R1	-	+	-	-	0.736842	-
ERR2061623.3270284 7001289F:103:C9WFLANXX:3:2207:11041:5406/1	R1	-	+	-	-	0.666667	-
ERR2061623.3372110 7001289F:103:C9WFLANXX:3:1107:14148:55085/2	R2	-	-	+	-	-	0.594340
ERR2061623.3372111 7001289F:103:C9WFLANXX:4:2313:14164:71631/2	R2	-	-	+	-	-	0.446429
ERR2061623.3372112 7001289F:103:C9WFLANXX:4:1213:14715:77792/1	R1	+	-	-	-	0.302752	-
ERR2061623.3372113 7001289F:103:C9WFLANXX:3:2310:19710:16579/1	R1	+	-	-	-	0.433628	-
ERR2061623.3372114 7001289F:103:C9WFLANXX:3:2105:11833:8997/1	R1	+	-	-	-	0.433628	-
ERR2061623.3372115 7001289F:103:C9WFLANXX:3:1307:11227:54152/2	R2	-	-	+	-	-	0.446429
ERR2061623.3372116 7001289F:103:C9WFLANXX:3:1203:18222:58901/1	R1	+	-	-	-	0.000000	-
ERR2061623.3372117 7001289F:103:C9WFLANXX:3:1110:21205:39149/2	R2	-	-	+	-	-	0.446429
ERR2061623.3372118 7001289F:103:C9WFLANXX:3:1115:7848:30967/2	R2	-	-	+	-	-	0.433628
ERR2061623.3372119 7001289F:103:C9WFLANXX:3:1112:8501:63842/1	R1	+	-	-	-	0.446429	-
ERR2061623.3372120 7001289F:103:C9WFLANXX:4:2206:18801:57841/2	R2	-	-	+	-	-	0.446429
ERR2061623.3372121 7001289F:103:C9WFLANXX:4:2112:7507:80289/1	R1	+	-	-	-	0.433628	-
ERR2061623.3372122 7001289F:103:C9WFLANXX:4:1206:13508:52383/2	R2	-	-	+	-	-	0.753846
ERR2061623.3372123 7001289F:103:C9WFLANXX:4:1205:10069:30768/2	R2	-	-	+	-	-	0.433628
ERR2061623.3372124 7001289F:103:C9WFLANXX:4:1107:16701:19494/2	R2	-	-	+	-	-	0.433628
ERR2061623.3372125 7001289F:103:C9WFLANXX:4:2310:20188:40099/1	R1	-	+	+	-	0.031746	0.446429
ERR2061623.3372126 7001289F:103:C9WFLANXX:3:1101:12233:11146/1	R1	+	-	-	-	0.000000	-
ERR2061623.3372127 7001289F:103:C9WFLANXX:3:1106:9541:20108/1	R1	-	+	+	-	0.000000	0.471698
ERR2061623.3372128 7001289F:103:C9WFLANXX:3:2307:17588:68560/1	R1	+	-	-	-	0.457944	-
ERR2061623.3372129 7001289F:103:C9WFLANXX:3:2202:13996:48388/1	R1	+	-	-	-	0.000000	-
ERR2061623.3372130 7001289F:103:C9WFLANXX:3:2203:10856:38704/2	R2	-	-	+	-	-	0.457944
ERR2061623.3372131 7001289F:103:C9WFLANXX:3:2216:9286:37957/1	R1	+	-	-	-	0.000000	-
ERR2061623.3372132 7001289F:103:C9WFLANXX:3:2207:13636:46091/2	R2	-	-	+	-	-	0.000000
ERR2061623.3372133 7001289F:103:C9WFLANXX:3:1309:10117:44628/1	R1	+	-	-	-	0.000000	-
ERR2061623.3372134 7001289F:103:C9WFLANXX:3:2104:7600:2903/2	R2	-	-	+	-	-	0.859813
ERR2061623.3372135 7001289F:103:C9WFLANXX:3:1109:4602:45009/1	R1	+	-	-	-	0.457944	-
ERR2061623.3372136 7001289F:103:C9WFLANXX:3:1115:10765:17869/2	R2	-	-	+	-	-	0.000000
ERR2061623.3372137 7001289F:103:C9WFLANXX:3:1116:14020:60757/1	R1	+	-	-	-	0.000000	-
ERR2061623.3372138 7001289F:103:C9WFLANXX:4:2306:3828:37505/2	R2	-	-	+	-	-	0.471698
ERR2061623.3372139 7001289F:103:C9WFLANXX:4:2303:19344:99920/2	R2	-	-	+	-	-	0.000000
ERR2061623.3372140 7001289F:103:C9WFLANXX:4:2112:14086:95301/1	R1	+	-	-	-	0.471698	-
ERR2061623.3372141 7001289F:103:C9WFLANXX:4:1101:3941:100498/2	R2	-	-	+	-	-	0.365385
ERR2061623.3372142 7001289F:103:C9WFLANXX:4:1104:16380:8008/2	R2	-	-	+	-	-	0.471698
ERR2061623.3372143 7001289F:103:C9WFLANXX:3:2315:13632:30981/1	R1	+	-	-	-	0.302752	-
ERR2061623.3372144 7001289F:103:C9WFLANXX:3:1305:14912:78324/1	R1	+	-	-	-	0.302752	-
