2024-12-26T17:00:40
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061612.325699 7001289F:103:C9WFLANXX:3:1104:12365:2527/1	R1	-	+	-	+	0.580645	0.580645
ERR2061612.325728 7001289F:103:C9WFLANXX:4:1108:11804:65539/1	R1	-	+	-	+	0.764706	0.764706
ERR2061612.325733 7001289F:103:C9WFLANXX:4:2302:12532:63080/1	R1	-	+	-	+	0.764706	0.764706
ERR2061612.404070 7001289F:103:C9WFLANXX:4:2302:8700:82672/1	R1	-	+	-	+	0.526316	0.526316
ERR2061612.1315500 7001289F:103:C9WFLANXX:3:1103:14428:11610/1	R1	-	+	-	+	0.777778	0.777778
ERR2061612.3345688 7001289F:103:C9WFLANXX:3:1108:16923:90452/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3623952 7001289F:103:C9WFLANXX:4:1313:8636:71376/1	R1	-	+	-	+	0.666667	0.666667
ERR2061612.3624195 7001289F:103:C9WFLANXX:3:2103:7009:89007/1	R1	-	+	-	+	0.526316	0.526316
ERR2061612.3730796 7001289F:103:C9WFLANXX:4:2109:7362:42930/1	R1	+	-	+	-	0.595745	0.595745
ERR2061612.3730797 7001289F:103:C9WFLANXX:3:2111:13910:33998/1	R1	+	-	+	-	0.446429	0.446429
ERR2061612.3730799 7001289F:103:C9WFLANXX:4:1210:18485:21376/1	R1	+	-	+	-	0.446429	0.446429
ERR2061612.3730800 7001289F:103:C9WFLANXX:4:1316:17031:51441/1	R1	+	-	+	-	0.446429	0.446429
ERR2061612.3730801 7001289F:103:C9WFLANXX:4:1213:1396:96247/1	R1	+	-	+	-	0.446429	0.446429
ERR2061612.3730803 7001289F:103:C9WFLANXX:4:1116:5967:47614/1	R1	+	-	+	-	0.741071	0.741071
ERR2061612.3730805 7001289F:103:C9WFLANXX:3:2315:19505:38587/1	R1	+	-	+	-	0.433628	0.433628
ERR2061612.3730806 7001289F:103:C9WFLANXX:3:2214:7749:48343/1	R1	+	-	+	-	0.000000	0.000000
ERR2061612.3730808 7001289F:103:C9WFLANXX:3:2304:14942:90825/1	R1	+	-	+	-	0.433628	0.433628
ERR2061612.3730810 7001289F:103:C9WFLANXX:3:1201:15329:21928/1	R1	+	-	+	-	0.446429	0.446429
ERR2061612.3730813 7001289F:103:C9WFLANXX:4:2316:8034:72799/1	R1	+	-	+	-	0.560000	0.560000
ERR2061612.3730815 7001289F:103:C9WFLANXX:4:2111:20737:61243/1	R1	+	-	+	-	0.433628	0.433628
ERR2061612.3730823 7001289F:103:C9WFLANXX:3:2103:6460:35758/1	R1	+	-	+	-	0.000000	0.000000
ERR2061612.3730827 7001289F:103:C9WFLANXX:3:1109:12391:89828/1	R1	+	-	+	-	0.457944	0.457944
ERR2061612.3730829 7001289F:103:C9WFLANXX:4:2116:14237:58306/1	R1	+	-	+	-	0.457944	0.457944
ERR2061612.3730830 7001289F:103:C9WFLANXX:4:1309:20390:54966/1	R1	+	-	+	-	0.457944	0.457944
ERR2061612.3730831 7001289F:103:C9WFLANXX:3:2106:17244:18289/1	R1	+	-	+	-	0.345455	0.345455
ERR2061612.3730835 7001289F:103:C9WFLANXX:3:1204:14240:56013/1	R1	+	-	+	-	0.000000	0.000000
ERR2061612.3730837 7001289F:103:C9WFLANXX:4:1204:17023:39831/1	R1	+	-	+	-	0.981308	0.981308
ERR2061612.3730840 7001289F:103:C9WFLANXX:3:2204:20161:33332/1	R1	+	-	+	-	0.000000	0.000000
ERR2061612.3730841 7001289F:103:C9WFLANXX:3:1112:18839:3059/1	R1	+	-	+	-	0.345455	0.345455
ERR2061612.3730845 7001289F:103:C9WFLANXX:4:2103:6552:5805/1	R1	+	-	+	-	0.438776	0.438776
ERR2061612.3730849 7001289F:103:C9WFLANXX:4:1302:13874:93008/1	R1	+	-	+	-	0.101852	0.101852
ERR2061612.3730851 7001289F:103:C9WFLANXX:4:1203:18389:11119/1	R1	+	-	+	-	0.302752	0.302752
ERR2061612.3730852 7001289F:103:C9WFLANXX:4:1312:10949:61804/1	R1	+	-	+	-	0.000000	0.000000
ERR2061612.3730854 7001289F:103:C9WFLANXX:4:1212:16005:35465/1	R1	+	-	+	-	0.302752	0.302752
ERR2061612.3730855 7001289F:103:C9WFLANXX:4:1204:1268:10852/1	R1	+	-	+	-	0.000000	0.000000
ERR2061612.3730858 7001289F:103:C9WFLANXX:3:1207:9766:25160/1	R1	+	-	+	-	0.837838	0.837838
ERR2061612.3730859 7001289F:103:C9WFLANXX:4:2108:19055:47326/1	R1	+	-	+	-	0.000000	0.000000
ERR2061612.3730860 7001289F:103:C9WFLANXX:4:1103:18028:62224/1	R1	+	-	+	-	0.000000	0.000000
ERR2061612.3730863 7001289F:103:C9WFLANXX:3:1312:16860:19301/1	R1	+	-	+	-	0.961538	0.961538
ERR2061612.3730865 7001289F:103:C9WFLANXX:3:1208:11961:68237/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730866 7001289F:103:C9WFLANXX:4:1208:8836:20048/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730869 7001289F:103:C9WFLANXX:3:2213:2635:47751/1	R1	+	-	+	-	0.558824	0.558824
ERR2061612.3730871 7001289F:103:C9WFLANXX:3:1113:9731:40491/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730872 7001289F:103:C9WFLANXX:4:1201:14416:20375/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730873 7001289F:103:C9WFLANXX:3:1103:3856:4567/1	R1	-	+	-	+	0.064516	0.064516
ERR2061612.3730874 7001289F:103:C9WFLANXX:3:2207:18422:68405/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730875 7001289F:103:C9WFLANXX:3:2101:1661:21362/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730878 7001289F:103:C9WFLANXX:4:1208:12035:91139/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730879 7001289F:103:C9WFLANXX:4:2114:9159:91308/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730880 7001289F:103:C9WFLANXX:4:2116:7739:76983/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730882 7001289F:103:C9WFLANXX:3:2102:12372:48839/1	R1	+	-	+	-	0.345455	0.345455
ERR2061612.3730883 7001289F:103:C9WFLANXX:4:1109:3106:19245/1	R1	+	-	+	-	0.513514	0.513514
ERR2061612.3730884 7001289F:103:C9WFLANXX:4:2315:2441:77971/1	R1	+	-	+	-	0.302752	0.302752
ERR2061612.3730885 7001289F:103:C9WFLANXX:4:2110:16655:73960/1	R1	-	+	-	+	0.103448	0.103448
ERR2061612.3730886 7001289F:103:C9WFLANXX:3:1114:6128:40139/1	R1	+	-	+	-	0.574468	0.574468
ERR2061612.3730887 7001289F:103:C9WFLANXX:3:1201:2242:42778/1	R1	-	+	-	+	0.047619	0.047619
ERR2061612.3730888 7001289F:103:C9WFLANXX:3:2213:11450:62978/1	R1	+	-	+	-	0.492537	0.492537
ERR2061612.3730891 7001289F:103:C9WFLANXX:4:2313:17702:80051/1	R1	+	-	+	-	0.475000	0.475000
ERR2061612.3730892 7001289F:103:C9WFLANXX:3:2112:10685:39646/1	R1	+	-	+	-	0.000000	0.000000
ERR2061612.3730893 7001289F:103:C9WFLANXX:3:1215:10182:71446/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730894 7001289F:103:C9WFLANXX:3:1203:19847:66454/1	R1	-	+	-	+	0.034483	0.034483
ERR2061612.3730895 7001289F:103:C9WFLANXX:4:1107:3239:97444/1	R1	+	-	+	-	0.760563	0.760563
ERR2061612.3730896 7001289F:103:C9WFLANXX:3:1209:14837:53161/1	R1	-	+	-	+	0.226087	0.226087
ERR2061612.3730899 7001289F:103:C9WFLANXX:3:2313:4852:56276/1	R1	-	+	-	+	0.109091	0.109091
ERR2061612.3730901 7001289F:103:C9WFLANXX:4:1103:6568:29438/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730902 7001289F:103:C9WFLANXX:3:1106:14075:4611/1	R1	+	-	+	-	0.714286	0.714286
ERR2061612.3730903 7001289F:103:C9WFLANXX:3:2212:9264:99953/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730904 7001289F:103:C9WFLANXX:4:2105:9133:46502/1	R1	+	-	+	-	0.000000	0.000000
ERR2061612.3730905 7001289F:103:C9WFLANXX:4:1209:6477:76225/1	R1	-	+	-	+	0.071429	0.071429
ERR2061612.3730907 7001289F:103:C9WFLANXX:3:1302:5754:21390/1	R1	-	+	-	+	0.120000	0.120000
ERR2061612.3730908 7001289F:103:C9WFLANXX:3:2215:8240:57319/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730910 7001289F:103:C9WFLANXX:3:1305:18460:95686/1	R1	+	-	+	-	0.657895	0.657895
ERR2061612.3730911 7001289F:103:C9WFLANXX:4:2106:17967:50586/1	R1	+	-	+	-	0.000000	0.000000
ERR2061612.3730912 7001289F:103:C9WFLANXX:4:1316:20145:33632/1	R1	+	-	+	-	0.673469	0.673469
ERR2061612.3730913 7001289F:103:C9WFLANXX:4:1110:1748:62107/1	R1	+	-	+	-	0.000000	0.000000
ERR2061612.3730919 7001289F:103:C9WFLANXX:3:1210:8850:9336/1	R1	-	+	-	+	0.000000	0.000000
ERR2061612.3730921 7001289F:103:C9WFLANXX:4:1115:2959:16535/1	R1	-	+	-	+	0.166667	0.166667
ERR2061612.3730923 7001289F:103:C9WFLANXX:4:1210:13953:91487/1	R1	-	+	-	+	0.222222	0.222222
