2022-07-19T15:15:05
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061619.370632 7001289F:109:CB97UANXX:1:2103:12860:88936/1	R1	-	+	-	-	0.777778	-
ERR2061619.461159 7001289F:109:CB97UANXX:1:1305:7100:35373/2	R2	-	-	-	+	-	0.777778
ERR2061619.499534 7001289F:109:CB97UANXX:1:2214:16355:66263/2	R2	-	-	-	+	-	1.000000
ERR2061619.499604 7001289F:109:CB97UANXX:1:1211:19173:11792/2	R2	-	-	-	+	-	0.950000
ERR2061619.1338902 7001289F:103:C9WFLANXX:4:1314:7604:11902/2	R2	-	-	-	+	-	1.000000
ERR2061619.2221020 7001289F:103:C9WFLANXX:3:1108:14800:44557/2	R2	-	-	+	-	-	0.533333
ERR2061619.2928128 7001289F:103:C9WFLANXX:3:2112:18555:76743/1	R1	-	+	-	-	0.631579	-
ERR2061619.2996843 7001289F:103:C9WFLANXX:4:1110:6578:54551/1	R1	-	+	-	-	0.000000	-
ERR2061619.4182223 7001289F:109:CB97UANXX:1:2304:10469:29446/1	R1	-	+	-	-	0.666667	-
ERR2061619.4183250 7001289F:109:CB97UANXX:1:2311:14414:17418/1	R1	-	+	-	-	0.666667	-
ERR2061619.4204813 7001289F:109:CB97UANXX:1:1313:7524:77049/1	R1	-	+	-	-	0.850000	-
ERR2061619.4263200 7001289F:109:CB97UANXX:1:1115:10474:21469/1	R1	-	+	-	-	0.000000	-
ERR2061619.4305065 7001289F:109:CB97UANXX:1:2106:11323:100656/2	R2	-	-	+	-	-	0.558824
ERR2061619.4305066 7001289F:109:CB97UANXX:1:1207:10881:44569/2	R2	-	-	+	-	-	0.471698
ERR2061619.4305067 7001289F:103:C9WFLANXX:3:2109:7182:94005/2	R2	-	-	+	-	-	0.528302
ERR2061619.4305068 7001289F:103:C9WFLANXX:3:2102:7928:34430/2	R2	-	-	+	-	-	0.446429
ERR2061619.4305069 7001289F:103:C9WFLANXX:4:1102:3702:17741/2	R2	-	-	+	-	-	0.446429
ERR2061619.4305070 7001289F:109:CB97UANXX:1:2315:11316:89013/2	R2	-	-	+	-	-	0.320388
ERR2061619.4305071 7001289F:109:CB97UANXX:1:2211:18120:42989/1	R1	+	-	-	-	0.446429	-
ERR2061619.4305072 7001289F:109:CB97UANXX:1:2208:1691:43840/2	R2	-	-	+	-	-	0.500000
ERR2061619.4305073 7001289F:109:CB97UANXX:1:1212:7605:27018/1	R1	+	-	-	-	0.302752	-
ERR2061619.4305074 7001289F:109:CB97UANXX:1:2303:2040:100027/2	R2	-	-	+	-	-	0.609756
ERR2061619.4305075 7001289F:109:CB97UANXX:1:2306:6960:48002/2	R2	-	-	+	-	-	0.413043
ERR2061619.4305076 7001289F:103:C9WFLANXX:3:2303:8573:51390/2	R2	-	-	+	-	-	0.531915
ERR2061619.4305077 7001289F:103:C9WFLANXX:3:2115:8876:70532/2	R2	-	-	+	-	-	0.471698
ERR2061619.4305078 7001289F:103:C9WFLANXX:3:1313:9176:62140/1	R1	+	-	-	-	0.446429	-
ERR2061619.4305079 7001289F:103:C9WFLANXX:4:2315:11461:91792/1	R1	+	-	-	-	0.482143	-
ERR2061619.4305080 7001289F:103:C9WFLANXX:4:2206:16628:59292/2	R2	-	-	+	-	-	0.433628
ERR2061619.4305081 7001289F:109:CB97UANXX:1:2205:11649:12675/2	R2	-	-	+	-	-	0.875000
ERR2061619.4305082 7001289F:103:C9WFLANXX:3:1106:5382:19423/1	R1	+	-	-	-	0.560000	-
ERR2061619.4305083 7001289F:103:C9WFLANXX:3:2316:4406:98773/2	R2	-	-	+	-	-	0.000000
ERR2061619.4305084 7001289F:103:C9WFLANXX:3:2102:9719:26004/2	R2	-	-	+	-	-	0.550562
ERR2061619.4305085 7001289F:103:C9WFLANXX:4:2312:13685:27959/1	R1	+	-	-	-	0.365385	-
