2024-12-26T17:16:26
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061614.161866 7001289F:109:CB97UANXX:1:2201:16748:28774/1	R1	+	-	+	-	0.238095	0.238095
ERR2061614.580237 7001289F:109:CB97UANXX:1:1305:8640:90700/1	R1	-	+	-	+	0.684211	0.684211
ERR2061614.580985 7001289F:103:C9WFLANXX:3:2310:20667:5811/1	R1	-	+	-	+	0.787879	0.787879
ERR2061614.581151 7001289F:109:CB97UANXX:1:2216:10413:4174/1	R1	-	+	-	+	0.787879	0.787879
ERR2061614.778901 7001289F:103:C9WFLANXX:4:1311:3662:96019/1	R1	-	+	-	+	1.000000	1.000000
ERR2061614.2316130 7001289F:103:C9WFLANXX:4:2107:18062:4154/1	R1	-	+	-	+	0.526316	0.526316
ERR2061614.2319874 7001289F:109:CB97UANXX:1:2302:19272:88371/1	R1	-	+	-	+	0.526316	0.526316
ERR2061614.4260718 7001289F:109:CB97UANXX:1:2107:3231:92854/1	R1	-	+	-	+	0.736842	0.736842
ERR2061614.6557143 7001289F:109:CB97UANXX:1:2101:14171:82007/1	R1	+	-	+	-	0.570093	0.570093
ERR2061614.6557148 7001289F:109:CB97UANXX:1:1109:5981:10597/1	R1	+	-	+	-	0.446429	0.446429
ERR2061614.6557150 7001289F:109:CB97UANXX:1:1112:16927:60396/1	R1	+	-	+	-	0.471698	0.471698
ERR2061614.6557153 7001289F:103:C9WFLANXX:3:1203:12894:9851/1	R1	+	-	+	-	0.433628	0.433628
ERR2061614.6557155 7001289F:103:C9WFLANXX:4:2108:18660:52068/1	R1	+	-	+	-	0.446429	0.446429
ERR2061614.6557158 7001289F:109:CB97UANXX:1:1204:4228:92774/1	R1	+	-	+	-	0.477876	0.477876
ERR2061614.6557160 7001289F:103:C9WFLANXX:3:1108:4606:68525/1	R1	+	-	+	-	0.000000	0.000000
ERR2061614.6557163 7001289F:103:C9WFLANXX:3:1114:7587:24094/1	R1	+	-	+	-	0.000000	0.000000
ERR2061614.6557165 7001289F:103:C9WFLANXX:4:2307:13383:55039/1	R1	+	-	+	-	0.685393	0.685393
ERR2061614.6557167 7001289F:103:C9WFLANXX:4:2208:8866:48798/1	R1	+	-	+	-	0.000000	0.000000
ERR2061614.6557169 7001289F:103:C9WFLANXX:4:1103:13281:33301/1	R1	+	-	+	-	0.000000	0.000000
ERR2061614.6557170 7001289F:103:C9WFLANXX:4:1102:10425:11385/1	R1	+	-	+	-	0.457944	0.457944
ERR2061614.6557171 7001289F:109:CB97UANXX:1:1102:6059:36820/1	R1	+	-	+	-	0.000000	0.000000
ERR2061614.6557177 7001289F:109:CB97UANXX:1:2302:20019:27820/1	R1	+	-	+	-	0.000000	0.000000
ERR2061614.6557179 7001289F:103:C9WFLANXX:3:2108:11557:97200/1	R1	+	-	+	-	0.568182	0.568182
ERR2061614.6557181 7001289F:103:C9WFLANXX:4:2311:8854:91888/1	R1	+	-	+	-	0.000000	0.000000
ERR2061614.6557182 7001289F:103:C9WFLANXX:4:2306:10959:66847/1	R1	+	-	+	-	0.457944	0.457944
ERR2061614.6557184 7001289F:103:C9WFLANXX:4:2107:9852:50664/1	R1	+	-	+	-	0.457944	0.457944
ERR2061614.6557186 7001289F:103:C9WFLANXX:3:1107:8261:96592/1	R1	+	-	+	-	0.417722	0.417722
ERR2061614.6557187 7001289F:103:C9WFLANXX:3:2305:12115:79053/1	R1	+	-	+	-	0.302752	0.302752
ERR2061614.6557188 7001289F:103:C9WFLANXX:3:1315:8467:96320/1	R1	+	-	+	-	0.302752	0.302752
ERR2061614.6557191 7001289F:103:C9WFLANXX:4:2111:5006:83244/1	R1	+	-	+	-	0.302752	0.302752
ERR2061614.6557193 7001289F:103:C9WFLANXX:4:1206:4772:61354/1	R1	+	-	+	-	0.302752	0.302752
ERR2061614.6557195 7001289F:103:C9WFLANXX:4:1113:17765:39965/1	R1	+	-	+	-	0.345455	0.345455
ERR2061614.6557197 7001289F:109:CB97UANXX:1:2316:9978:23184/1	R1	+	-	+	-	0.428571	0.428571
ERR2061614.6557198 7001289F:109:CB97UANXX:1:2101:5325:96597/1	R1	+	-	+	-	0.302752	0.302752
ERR2061614.6557199 7001289F:109:CB97UANXX:1:2104:7061:7769/1	R1	+	-	+	-	0.457944	0.457944
ERR2061614.6557200 7001289F:109:CB97UANXX:1:2114:4056:79097/1	R1	+	-	+	-	0.302752	0.302752
ERR2061614.6557203 7001289F:109:CB97UANXX:1:2208:16673:44851/1	R1	-	+	-	+	0.000000	0.000000
ERR2061614.6557204 7001289F:109:CB97UANXX:1:1210:7866:20641/1	R1	-	+	-	+	0.515152	0.515152
ERR2061614.6557205 7001289F:103:C9WFLANXX:3:1109:1787:18746/1	R1	+	-	+	-	0.448980	0.448980
ERR2061614.6557206 7001289F:103:C9WFLANXX:3:1208:7861:80760/1	R1	+	-	+	-	0.457944	0.457944
ERR2061614.6557209 7001289F:109:CB97UANXX:1:1213:3607:85721/1	R1	+	-	+	-	0.302752	0.302752
ERR2061614.6557210 7001289F:103:C9WFLANXX:4:1105:4382:36655/1	R1	+	-	+	-	0.600000	0.600000
ERR2061614.6557211 7001289F:109:CB97UANXX:1:2211:10470:59631/1	R1	+	-	+	-	0.000000	0.000000
ERR2061614.6557213 7001289F:109:CB97UANXX:1:2308:7052:69322/1	R1	+	-	+	-	0.000000	0.000000
ERR2061614.6557214 7001289F:109:CB97UANXX:1:2302:14032:21613/1	R1	+	-	+	-	0.446429	0.446429
ERR2061614.6557215 7001289F:109:CB97UANXX:1:1209:4318:28890/1	R1	+	-	+	-	0.811881	0.811881
ERR2061614.6557216 7001289F:103:C9WFLANXX:4:1102:17305:12568/1	R1	+	-	+	-	0.863636	0.863636
ERR2061614.6557217 7001289F:109:CB97UANXX:1:1207:20821:67784/1	R1	+	-	+	-	0.000000	0.000000
