2022-07-19T15:51:33
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061624.963814 7001289F:109:CB97UANXX:2:1315:21045:30750/2	R2	-	-	-	+	-	0.526316
ERR2061624.1039062 7001289F:109:CB97UANXX:2:2315:6355:81339/2	R2	-	-	-	+	-	1.000000
ERR2061624.1039195 7001289F:109:CB97UANXX:2:1106:11498:16250/1	R1	-	+	-	-	0.904762	-
ERR2061624.1039442 7001289F:109:CB97UANXX:2:1102:12868:73445/1	R1	-	+	-	-	0.950000	-
ERR2061624.1039503 7001289F:109:CB97UANXX:2:2305:17471:98738/1	R1	-	+	-	-	0.904762	-
ERR2061624.1039550 7001289F:109:CB97UANXX:2:1208:16720:34006/2	R2	-	-	-	+	-	0.950000
ERR2061624.1039840 7001289F:109:CB97UANXX:2:1210:2665:63378/1	R1	-	+	-	-	0.904762	-
ERR2061624.1040202 7001289F:109:CB97UANXX:2:2312:11016:51243/2	R2	-	-	-	+	-	0.904762
ERR2061624.3147510 7001289F:109:CB97UANXX:2:2313:6377:26175/1	R1	-	+	-	-	0.850000	-
ERR2061624.3152625 7001289F:109:CB97UANXX:2:1211:14554:23393/2	R2	-	-	-	+	-	0.777778
ERR2061624.5759075 7001289F:109:CB97UANXX:2:2102:18266:11172/2	R2	-	-	-	+	-	0.736842
ERR2061624.5759100 7001289F:109:CB97UANXX:2:1303:17316:56621/2	R2	-	-	-	+	-	0.736842
ERR2061624.5759110 7001289F:109:CB97UANXX:2:1302:18315:62673/1	R1	-	+	-	-	0.736842	-
ERR2061624.7319342 7001289F:109:CB97UANXX:2:1307:16521:79696/2	R2	-	-	-	+	-	0.923077
ERR2061624.7489864 7001289F:109:CB97UANXX:2:2115:1809:99182/1	R1	+	-	-	-	0.250000	-
ERR2061624.8627930 7001289F:109:CB97UANXX:2:1212:2333:78166/2	R2	-	-	-	+	-	0.666667
ERR2061624.8628482 7001289F:109:CB97UANXX:2:1210:7127:24773/2	R2	-	-	-	+	-	0.526316
ERR2061624.8628502 7001289F:109:CB97UANXX:2:1315:15137:72673/2	R2	-	-	-	+	-	0.526316
ERR2061624.8861574 7001289F:109:CB97UANXX:2:1215:8461:6339/1	R1	+	-	-	-	0.000000	-
ERR2061624.8861575 7001289F:109:CB97UANXX:2:1214:11059:24116/1	R1	+	-	-	-	0.540984	-
ERR2061624.8861576 7001289F:109:CB97UANXX:2:1105:7921:5939/2	R2	-	-	+	-	-	0.822430
ERR2061624.8861578 7001289F:109:CB97UANXX:2:2105:18948:31635/2	R2	-	-	+	-	-	0.000000
ERR2061624.8861579 7001289F:109:CB97UANXX:2:2309:8625:12575/1	R1	+	-	-	-	0.000000	-
ERR2061624.8861581 7001289F:109:CB97UANXX:2:2106:9632:101151/2	R2	-	-	+	-	-	0.722772
ERR2061624.8861582 7001289F:109:CB97UANXX:2:1311:1465:5310/2	R2	-	-	+	-	-	0.402062
ERR2061624.8861583 7001289F:109:CB97UANXX:2:2108:11468:73960/2	R2	-	-	+	-	-	0.540000
ERR2061624.8861584 7001289F:109:CB97UANXX:2:2215:1329:54771/2	R2	-	-	+	-	-	0.530973
ERR2061624.8861585 7001289F:109:CB97UANXX:2:2310:9512:80759/1	R1	+	-	-	-	0.495575	-
ERR2061624.8861586 7001289F:109:CB97UANXX:2:2206:5586:9197/1	R1	+	-	-	-	0.851852	-
ERR2061624.8861587 7001289F:109:CB97UANXX:2:2113:14173:44987/2	R2	-	-	+	-	-	0.981982
ERR2061624.8861588 7001289F:109:CB97UANXX:2:2106:2904:47528/1	R1	+	-	-	-	0.446429	-
ERR2061624.8861589 7001289F:109:CB97UANXX:2:1305:2071:17735/1	R1	+	-	-	-	0.000000	-
ERR2061624.8861590 7001289F:109:CB97UANXX:2:1202:9618:22161/2	R2	-	-	+	-	-	0.446429
ERR2061624.8861591 7001289F:109:CB97UANXX:2:1214:15629:66371/1	R1	+	-	-	-	0.446429	-
ERR2061624.8861592 7001289F:109:CB97UANXX:2:1204:11004:34205/2	R2	-	-	+	-	-	0.446429
ERR2061624.8861593 7001289F:109:CB97UANXX:2:1207:8675:76445/2	R2	-	-	+	-	-	0.000000
ERR2061624.8861594 7001289F:109:CB97UANXX:2:1101:1638:15714/1	R1	+	-	-	-	0.446429	-
ERR2061624.8861595 7001289F:109:CB97UANXX:2:1101:19734:35200/2	R2	-	-	+	-	-	0.446429
ERR2061624.8861596 7001289F:109:CB97UANXX:2:1113:13967:80430/2	R2	-	-	+	-	-	0.446429
ERR2061624.8861597 7001289F:109:CB97UANXX:2:1314:7072:98385/1	R1	+	-	-	-	0.703704	-
