2022-07-19T14:39:19
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061614.161866 7001289F:109:CB97UANXX:1:2201:16748:28774/1	R1	+	-	-	+	0.238095	0.172414
ERR2061614.580237 7001289F:109:CB97UANXX:1:1305:8640:90700/1	R1	-	+	-	-	0.684211	-
ERR2061614.580985 7001289F:103:C9WFLANXX:3:2310:20667:5811/1	R1	-	+	-	-	0.787879	-
ERR2061614.581151 7001289F:109:CB97UANXX:1:2216:10413:4174/1	R1	-	+	-	-	0.787879	-
ERR2061614.778901 7001289F:103:C9WFLANXX:4:1311:3662:96019/1	R1	-	+	-	-	1.000000	-
ERR2061614.2316130 7001289F:103:C9WFLANXX:4:2107:18062:4154/1	R1	-	+	-	-	0.526316	-
ERR2061614.2319756 7001289F:103:C9WFLANXX:4:1107:16778:96869/2	R2	-	-	-	+	-	0.526316
ERR2061614.2319760 7001289F:109:CB97UANXX:1:2201:2597:42116/2	R2	-	-	-	+	-	0.526316
ERR2061614.2319874 7001289F:109:CB97UANXX:1:2302:19272:88371/1	R1	-	+	-	-	0.526316	-
ERR2061614.2460624 7001289F:103:C9WFLANXX:4:2105:4160:80002/2	R2	-	-	+	-	-	0.000000
ERR2061614.4260718 7001289F:109:CB97UANXX:1:2107:3231:92854/1	R1	-	+	-	-	0.736842	-
ERR2061614.6557141 7001289F:103:C9WFLANXX:3:2310:5240:40323/2	R2	-	-	+	-	-	0.000000
ERR2061614.6557142 7001289F:109:CB97UANXX:1:2101:15119:95506/2	R2	-	-	+	-	-	0.000000
ERR2061614.6557143 7001289F:109:CB97UANXX:1:2101:14171:82007/1	R1	+	-	-	-	0.570093	-
ERR2061614.6557144 7001289F:109:CB97UANXX:1:1203:12293:80063/2	R2	-	-	+	-	-	0.000000
ERR2061614.6557145 7001289F:103:C9WFLANXX:3:2112:15291:83151/2	R2	-	-	+	-	-	0.446429
ERR2061614.6557146 7001289F:109:CB97UANXX:1:1105:18302:9363/2	R2	-	-	+	-	-	0.446429
ERR2061614.6557147 7001289F:109:CB97UANXX:1:2205:14180:62894/2	R2	-	-	+	-	-	0.446429
ERR2061614.6557148 7001289F:109:CB97UANXX:1:1109:5981:10597/1	R1	+	-	-	-	0.446429	-
ERR2061614.6557149 7001289F:109:CB97UANXX:1:1204:10160:74209/2	R2	-	-	+	-	-	0.000000
ERR2061614.6557150 7001289F:109:CB97UANXX:1:1112:16927:60396/1	R1	+	-	-	-	0.471698	-
ERR2061614.6557151 7001289F:109:CB97UANXX:1:1111:13773:45077/2	R2	-	-	+	-	-	0.000000
ERR2061614.6557152 7001289F:109:CB97UANXX:1:1116:19299:79336/2	R2	-	-	+	-	-	0.000000
ERR2061614.6557153 7001289F:103:C9WFLANXX:3:1203:12894:9851/1	R1	+	-	-	-	0.433628	-
ERR2061614.6557154 7001289F:103:C9WFLANXX:3:1110:1540:31156/2	R2	-	-	+	-	-	0.531915
ERR2061614.6557155 7001289F:103:C9WFLANXX:4:2108:18660:52068/1	R1	+	-	-	-	0.446429	-
ERR2061614.6557156 7001289F:109:CB97UANXX:1:2109:18284:95010/2	R2	-	-	+	-	-	0.446429
ERR2061614.6557157 7001289F:109:CB97UANXX:1:1310:16050:67285/2	R2	-	-	+	-	-	0.433628
ERR2061614.6557158 7001289F:109:CB97UANXX:1:1204:4228:92774/1	R1	+	-	-	-	0.477876	-
ERR2061614.6557159 7001289F:109:CB97UANXX:1:1214:7264:37598/2	R2	-	-	+	-	-	0.433628
