2022-07-13T14:54:37
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061616.530468 7001289F:103:C9WFLANXX:3:1102:5624:11635/2	R2	-	-	-	+	-	0.000000
ERR2061616.715267 7001289F:103:C9WFLANXX:3:2304:21057:54283/1	R1	-	+	-	-	0.863636	-
ERR2061616.715310 7001289F:109:CB97UANXX:1:2106:4228:5864/2	R2	-	-	-	+	-	0.950000
ERR2061616.715925 7001289F:109:CB97UANXX:1:1313:4435:80717/2	R2	-	-	-	+	-	0.950000
ERR2061616.717102 7001289F:103:C9WFLANXX:4:2312:13412:14271/1	R1	-	+	-	-	0.950000	-
ERR2061616.1639858 7001289F:103:C9WFLANXX:3:2305:13646:24313/1	R1	-	+	-	-	0.870370	-
ERR2061616.1719598 7001289F:109:CB97UANXX:1:2109:20743:28654/1	R1	-	+	-	-	0.000000	-
ERR2061616.2103664 7001289F:109:CB97UANXX:1:1116:9144:67771/1	R1	-	+	-	-	0.777778	-
ERR2061616.2103711 7001289F:109:CB97UANXX:1:1316:10172:75504/1	R1	-	+	-	-	0.857143	-
ERR2061616.3995192 7001289F:109:CB97UANXX:1:1106:5388:36550/2	R2	-	-	-	+	-	1.000000
ERR2061616.5785907 7001289F:103:C9WFLANXX:4:2112:5631:80990/2	R2	-	-	-	+	-	0.666667
ERR2061616.5786001 7001289F:103:C9WFLANXX:4:2216:18972:28631/1	R1	-	+	-	-	0.526316	-
ERR2061616.5787165 7001289F:109:CB97UANXX:1:2201:13095:65549/2	R2	-	-	-	+	-	0.857143
ERR2061616.5804575 7001289F:103:C9WFLANXX:3:2314:21210:89922/1	R1	-	+	-	-	0.153846	-
ERR2061616.5990975 7001289F:109:CB97UANXX:1:1306:12545:24257/2	R2	-	-	+	-	-	0.413043
ERR2061616.5990976 7001289F:109:CB97UANXX:1:1214:13334:33301/2	R2	-	-	+	-	-	0.907895
ERR2061616.5990977 7001289F:109:CB97UANXX:1:2314:10052:52126/2	R2	-	-	+	-	-	0.594340
ERR2061616.5990978 7001289F:103:C9WFLANXX:3:1201:11375:2475/2	R2	-	-	+	-	-	0.500000
ERR2061616.5990979 7001289F:103:C9WFLANXX:3:1208:17195:43810/1	R1	+	-	-	-	0.446429	-
ERR2061616.5990980 7001289F:103:C9WFLANXX:4:1315:18157:54708/1	R1	+	-	-	-	0.446429	-
ERR2061616.5990981 7001289F:109:CB97UANXX:1:2207:13671:3048/2	R2	-	-	+	-	-	0.446429
ERR2061616.5990982 7001289F:109:CB97UANXX:1:2207:9811:6701/1	R1	+	-	-	-	0.446429	-
