2024-12-27T11:16:38
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061623.298517 7001289F:103:C9WFLANXX:3:2306:2662:47576/1	R1	-	+	-	+	0.850000	0.850000
ERR2061623.402377 7001289F:103:C9WFLANXX:3:2211:18241:33721/1	R1	-	+	-	+	0.950000	0.950000
ERR2061623.1193529 7001289F:103:C9WFLANXX:4:2113:10858:3503/1	R1	-	+	-	+	0.526316	0.526316
ERR2061623.2178395 7001289F:103:C9WFLANXX:3:2314:8592:55201/1	R1	-	+	-	+	0.736842	0.736842
ERR2061623.2178415 7001289F:103:C9WFLANXX:4:1107:15353:49610/1	R1	-	+	-	+	0.736842	0.736842
ERR2061623.2178436 7001289F:103:C9WFLANXX:4:2115:7766:99325/1	R1	-	+	-	+	0.736842	0.736842
ERR2061623.3270284 7001289F:103:C9WFLANXX:3:2207:11041:5406/1	R1	-	+	-	+	0.666667	0.666667
ERR2061623.3372112 7001289F:103:C9WFLANXX:4:1213:14715:77792/1	R1	+	-	+	-	0.302752	0.302752
ERR2061623.3372113 7001289F:103:C9WFLANXX:3:2310:19710:16579/1	R1	+	-	+	-	0.433628	0.433628
ERR2061623.3372114 7001289F:103:C9WFLANXX:3:2105:11833:8997/1	R1	+	-	+	-	0.433628	0.433628
ERR2061623.3372116 7001289F:103:C9WFLANXX:3:1203:18222:58901/1	R1	+	-	+	-	0.000000	0.000000
ERR2061623.3372119 7001289F:103:C9WFLANXX:3:1112:8501:63842/1	R1	+	-	+	-	0.446429	0.446429
ERR2061623.3372121 7001289F:103:C9WFLANXX:4:2112:7507:80289/1	R1	+	-	+	-	0.433628	0.433628
ERR2061623.3372125 7001289F:103:C9WFLANXX:4:2310:20188:40099/1	R1	-	+	-	+	0.031746	0.031746
ERR2061623.3372126 7001289F:103:C9WFLANXX:3:1101:12233:11146/1	R1	+	-	+	-	0.000000	0.000000
ERR2061623.3372127 7001289F:103:C9WFLANXX:3:1106:9541:20108/1	R1	-	+	-	+	0.000000	0.000000
ERR2061623.3372128 7001289F:103:C9WFLANXX:3:2307:17588:68560/1	R1	+	-	+	-	0.457944	0.457944
ERR2061623.3372129 7001289F:103:C9WFLANXX:3:2202:13996:48388/1	R1	+	-	+	-	0.000000	0.000000
ERR2061623.3372131 7001289F:103:C9WFLANXX:3:2216:9286:37957/1	R1	+	-	+	-	0.000000	0.000000
ERR2061623.3372133 7001289F:103:C9WFLANXX:3:1309:10117:44628/1	R1	+	-	+	-	0.000000	0.000000
ERR2061623.3372135 7001289F:103:C9WFLANXX:3:1109:4602:45009/1	R1	+	-	+	-	0.457944	0.457944
ERR2061623.3372137 7001289F:103:C9WFLANXX:3:1116:14020:60757/1	R1	+	-	+	-	0.000000	0.000000
ERR2061623.3372140 7001289F:103:C9WFLANXX:4:2112:14086:95301/1	R1	+	-	+	-	0.471698	0.471698
ERR2061623.3372143 7001289F:103:C9WFLANXX:3:2315:13632:30981/1	R1	+	-	+	-	0.302752	0.302752
ERR2061623.3372144 7001289F:103:C9WFLANXX:3:1305:14912:78324/1	R1	+	-	+	-	0.302752	0.302752
ERR2061623.3372146 7001289F:103:C9WFLANXX:4:1201:1396:8385/1	R1	+	-	+	-	0.759259	0.759259
ERR2061623.3372147 7001289F:103:C9WFLANXX:4:1204:4845:18229/1	R1	+	-	+	-	0.302752	0.302752
ERR2061623.3372149 7001289F:103:C9WFLANXX:3:2209:6442:98278/1	R1	+	-	+	-	0.345455	0.345455
ERR2061623.3372150 7001289F:103:C9WFLANXX:3:2111:3457:84509/1	R1	+	-	+	-	0.302752	0.302752
ERR2061623.3372151 7001289F:103:C9WFLANXX:3:2208:20643:26042/1	R1	+	-	+	-	0.302752	0.302752
ERR2061623.3372152 7001289F:103:C9WFLANXX:3:1302:13150:92762/1	R1	+	-	+	-	0.345455	0.345455
ERR2061623.3372153 7001289F:103:C9WFLANXX:3:1212:9793:28219/1	R1	+	-	+	-	0.340206	0.340206
ERR2061623.3372154 7001289F:103:C9WFLANXX:4:2314:6596:94444/1	R1	+	-	+	-	0.417722	0.417722
ERR2061623.3372155 7001289F:103:C9WFLANXX:4:2303:11962:79608/1	R1	+	-	+	-	0.302752	0.302752
ERR2061623.3372156 7001289F:103:C9WFLANXX:4:2302:15752:14546/1	R1	+	-	+	-	0.000000	0.000000
ERR2061623.3372163 7001289F:103:C9WFLANXX:4:2314:9320:86476/1	R1	+	-	+	-	0.457944	0.457944
ERR2061623.3372164 7001289F:103:C9WFLANXX:4:2105:17901:32597/1	R1	-	+	-	+	0.000000	0.000000
ERR2061623.3372165 7001289F:103:C9WFLANXX:3:2307:19885:65618/1	R1	+	-	+	-	0.000000	0.000000
ERR2061623.3372169 7001289F:103:C9WFLANXX:3:1116:12891:36478/1	R1	+	-	+	-	0.690141	0.690141
ERR2061623.3372177 7001289F:103:C9WFLANXX:4:1116:16530:13391/1	R1	-	+	-	+	0.000000	0.000000
